Area [cm^2], start Voltage, Stop Voltage, Step Voltage
7.850000E-3	0.000000E+0	-2.400000E+1	5.000000E-1
0.000000	1.116200E-11	0.000604	2.884235E+13	7.625000E-5
-0.500000	1.105500E-11	0.000610	3.903931E+14	6.597000E-5
-1.000000	1.076400E-11	0.000626	2.216163E+14	5.798000E-5
-1.500000	1.039900E-11	0.000648	1.731261E+14	5.154000E-5
-2.000000	1.000300E-11	0.000674	1.447384E+14	4.631000E-5
-2.500000	9.588000E-12	0.000703	1.226517E+14	4.184000E-5
-3.000000	9.160000E-12	0.000736	1.023145E+14	3.786000E-5
-3.500000	8.709000E-12	0.000774	8.377558E+13	3.400000E-5
-4.000000	8.238000E-12	0.000818	7.136422E+13	3.030000E-5
-4.500000	7.787000E-12	0.000865	6.884540E+13	2.737000E-5
-5.000000	7.420000E-12	0.000908	7.620877E+13	2.545000E-5
-5.500000	7.145000E-12	0.000943	9.121103E+13	2.419000E-5
-6.000000	6.942000E-12	0.000971	1.109350E+14	2.326000E-5
-6.500000	6.786000E-12	0.000993	1.300432E+14	2.250000E-5
-7.000000	6.657000E-12	0.001012	1.488093E+14	2.181000E-5
-7.500000	6.551000E-12	0.001029	1.653862E+14	2.115000E-5
-8.000000	6.456000E-12	0.001044	1.767426E+14	2.055000E-5
-8.500000	6.371000E-12	0.001058	1.886551E+14	1.997000E-5
-9.000000	6.294000E-12	0.001071	1.976391E+14	1.942000E-5
-9.500000	6.222000E-12	0.001083	2.046791E+14	1.889000E-5
-10.000000	6.155000E-12	0.001095	2.084996E+14	1.838000E-5
-10.500000	6.090000E-12	0.001107	2.134363E+14	1.789000E-5
-11.000000	6.030000E-12	0.001118	2.155598E+14	1.743000E-5
-11.500000	5.970000E-12	0.001129	2.166220E+14	1.699000E-5
-12.000000	5.914000E-12	0.001139	2.219625E+14	1.657000E-5
-12.500000	5.860000E-12	0.001150	2.240895E+14	1.618000E-5
-13.000000	5.808000E-12	0.001160	2.222593E+14	1.580000E-5
-13.500000	5.756000E-12	0.001171	2.229445E+14	1.544000E-5
-14.000000	5.707000E-12	0.001181	2.285611E+14	1.509000E-5
-14.500000	5.660000E-12	0.001191	2.275856E+14	1.476000E-5
-15.000000	5.613000E-12	0.001201	2.269103E+14	1.444000E-5
-15.500000	5.568000E-12	0.001210	2.315677E+14	1.413000E-5
-16.000000	5.525000E-12	0.001220	2.286594E+14	1.385000E-5
-16.500000	5.481000E-12	0.001229	2.315302E+14	1.358000E-5
-17.000000	5.441000E-12	0.001239	2.406391E+14	1.331000E-5
-17.500000	5.402000E-12	0.001247	2.323636E+14	1.306000E-5
-18.000000	5.361000E-12	0.001257	2.303090E+14	1.280000E-5
-18.500000	5.323000E-12	0.001266	2.341503E+14	1.257000E-5
-19.000000	5.285000E-12	0.001275	2.322932E+14	1.234000E-5
-19.500000	5.248000E-12	0.001284	2.369952E+14	1.213000E-5
-20.000000	5.213000E-12	0.001293	2.423172E+14	1.191000E-5
-20.500000	5.179000E-12	0.001301	2.374693E+14	1.171000E-5
-21.000000	5.144000E-12	0.001310	2.328223E+14	1.151000E-5
-21.500000	5.110000E-12	0.001319	2.424263E+14	1.133000E-5
-22.000000	5.079000E-12	0.001327	2.414053E+14	1.114000E-5
-22.500000	5.046000E-12	0.001335	2.332946E+14	1.097000E-5
-23.000000	5.014000E-12	0.001344	2.400331E+14	1.080000E-5
-23.500000	4.984000E-12	0.001352	2.520120E+14	1.065000E-5
-24.000000	4.956000E-12	0.001360	-5.862316E+12	1.048000E-5
