Area [cm^2], start Voltage, Stop Voltage, Step Voltage
7.850000E-3	0.000000E+0	-2.400000E+1	5.000000E-1
0.000000	2.531000E-11	0.000266	1.156827E+14	5.360000E-5
-0.500000	2.214000E-11	0.000304	2.347695E+14	4.000000E-5
-1.000000	1.974000E-11	0.000341	2.169286E+14	3.120000E-5
-1.500000	1.788000E-11	0.000377	2.041045E+14	2.540000E-5
-2.000000	1.639000E-11	0.000411	1.938557E+14	2.130000E-5
-2.500000	1.517000E-11	0.000444	1.835111E+14	1.820000E-5
-3.000000	1.413000E-11	0.000477	1.758576E+14	1.580000E-5
-3.500000	1.326000E-11	0.000508	1.683722E+14	1.400000E-5
-4.000000	1.249000E-11	0.000540	1.632080E+14	1.260000E-5
-4.500000	1.184000E-11	0.000569	1.660556E+14	1.160000E-5
-5.000000	1.130000E-11	0.000596	1.694730E+14	1.080000E-5
-5.500000	1.083000E-11	0.000622	1.780018E+14	1.030000E-5
-6.000000	1.045000E-11	0.000645	1.848080E+14	9.700000E-6
-6.500000	1.010000E-11	0.000667	1.912777E+14	9.400000E-6
-7.000000	9.810000E-12	0.000687	1.992155E+14	9.000000E-6
-7.500000	9.540000E-12	0.000706	2.015516E+14	8.600000E-6
-8.000000	9.300000E-12	0.000725	2.116958E+14	8.400000E-6
-8.500000	9.090000E-12	0.000741	2.163047E+14	8.000000E-6
-9.000000	8.890000E-12	0.000758	2.127350E+14	7.800000E-6
-9.500000	8.700000E-12	0.000775	2.164034E+14	7.500000E-6
-10.000000	8.530000E-12	0.000790	2.221545E+14	7.200000E-6
-10.500000	8.370000E-12	0.000805	2.234490E+14	7.000000E-6
-11.000000	8.220000E-12	0.000820	2.183173E+14	6.900000E-6
-11.500000	8.070000E-12	0.000835	2.221767E+14	6.600000E-6
-12.000000	7.940000E-12	0.000849	2.182271E+14	6.400000E-6
-12.500000	7.800000E-12	0.000864	2.160838E+14	6.200000E-6
-13.000000	7.680000E-12	0.000877	2.327515E+14	6.000000E-6
-13.500000	7.570000E-12	0.000890	2.325759E+14	5.900000E-6
-14.000000	7.460000E-12	0.000903	2.225810E+14	5.800000E-6
-14.500000	7.350000E-12	0.000917	2.234780E+14	5.600000E-6
-15.000000	7.250000E-12	0.000929	2.370789E+14	5.500000E-6
-15.500000	7.160000E-12	0.000941	2.274078E+14	5.400000E-6
-16.000000	7.060000E-12	0.000955	2.189319E+14	5.200000E-6
-16.500000	6.970000E-12	0.000967	2.354712E+14	5.100000E-6
-17.000000	6.890000E-12	0.000978	2.264716E+14	5.000000E-6
-17.500000	6.800000E-12	0.000991	2.186669E+14	4.900000E-6
-18.000000	6.720000E-12	0.001003	2.568658E+14	4.800000E-6
-18.500000	6.660000E-12	0.001012	2.674860E+14	4.700000E-6
-19.000000	6.590000E-12	0.001023	2.245673E+14	4.600000E-6
-19.500000	6.510000E-12	0.001035	2.335596E+14	4.400000E-6
-20.000000	6.450000E-12	0.001045	2.429519E+14	4.400000E-6
-20.500000	6.380000E-12	0.001056	2.188329E+14	4.400000E-6
-21.000000	6.310000E-12	0.001068	2.285430E+14	4.300000E-6
-21.500000	6.250000E-12	0.001078	2.400280E+14	4.200000E-6
-22.000000	6.190000E-12	0.001089	2.331805E+14	4.100000E-6
-22.500000	6.130000E-12	0.001099	2.476649E+14	4.000000E-6
-23.000000	6.080000E-12	0.001108	2.404685E+14	4.000000E-6
-23.500000	6.020000E-12	0.001119	2.586875E+14	3.900000E-6
-24.000000	5.980000E-12	0.001127	-8.552757E+12	3.800000E-6
