Area [cm^2], start Voltage, Stop Voltage, Step Voltage
7.850000E-3	0.000000E+0	-2.400000E+1	5.000000E-1
0.000000	3.070000E-11	0.000220	1.552701E+14	2.500000E-5
-0.500000	2.565000E-11	0.000263	2.461089E+14	1.720000E-5
-1.000000	2.225000E-11	0.000303	2.266705E+14	1.290000E-5
-1.500000	1.976000E-11	0.000341	2.109855E+14	1.020000E-5
-2.000000	1.785000E-11	0.000378	2.016122E+14	8.400000E-6
-2.500000	1.637000E-11	0.000412	1.964777E+14	7.000000E-6
-3.000000	1.518000E-11	0.000444	1.955623E+14	6.100000E-6
-3.500000	1.423000E-11	0.000474	1.972588E+14	5.400000E-6
-4.000000	1.344000E-11	0.000501	1.976916E+14	4.900000E-6
-4.500000	1.277000E-11	0.000528	2.014422E+14	4.400000E-6
-5.000000	1.221000E-11	0.000552	2.055759E+14	4.100000E-6
-5.500000	1.172000E-11	0.000575	2.049258E+14	3.800000E-6
-6.000000	1.128000E-11	0.000597	2.076419E+14	3.600000E-6
-6.500000	1.090000E-11	0.000618	2.162577E+14	3.500000E-6
-7.000000	1.057000E-11	0.000638	2.217408E+14	3.300000E-6
-7.500000	1.027000E-11	0.000656	2.206699E+14	3.100000E-6
-8.000000	9.990000E-12	0.000675	2.182006E+14	3.000000E-6
-8.500000	9.730000E-12	0.000693	2.225786E+14	2.900000E-6
-9.000000	9.500000E-12	0.000709	2.249263E+14	2.800000E-6
-9.500000	9.280000E-12	0.000726	2.194293E+14	2.700000E-6
-10.000000	9.070000E-12	0.000743	2.206273E+14	2.800000E-6
-10.500000	8.880000E-12	0.000759	2.301070E+14	2.700000E-6
-11.000000	8.710000E-12	0.000774	2.365157E+14	2.600000E-6
-11.500000	8.550000E-12	0.000788	2.381751E+14	2.500000E-6
-12.000000	8.400000E-12	0.000802	2.329822E+14	2.400000E-6
-12.500000	8.250000E-12	0.000817	2.287538E+14	2.400000E-6
-13.000000	8.110000E-12	0.000831	2.334235E+14	2.400000E-6
-13.500000	7.980000E-12	0.000844	2.401901E+14	2.300000E-6
-14.000000	7.860000E-12	0.000857	2.494973E+14	2.300000E-6
-14.500000	7.750000E-12	0.000870	2.495690E+14	2.200000E-6
-15.000000	7.640000E-12	0.000882	2.390895E+14	2.200000E-6
-15.500000	7.530000E-12	0.000895	2.528217E+14	2.100000E-6
-16.000000	7.440000E-12	0.000906	2.551706E+14	2.000000E-6
-16.500000	7.340000E-12	0.000918	2.602211E+14	2.000000E-6
-17.000000	7.260000E-12	0.000928	2.649886E+14	2.000000E-6
-17.500000	7.170000E-12	0.000940	2.563174E+14	2.000000E-6
-18.000000	7.090000E-12	0.000950	2.809002E+14	2.000000E-6
-18.500000	7.020000E-12	0.000960	2.715036E+14	2.000000E-6
-19.000000	6.940000E-12	0.000971	2.464485E+14	1.900000E-6
-19.500000	6.860000E-12	0.000982	2.732343E+14	1.900000E-6
-20.000000	6.800000E-12	0.000991	3.091442E+14	1.900000E-6
-20.500000	6.740000E-12	0.001000	2.772501E+14	1.900000E-6
-21.000000	6.670000E-12	0.001010	2.699052E+14	1.900000E-6
-21.500000	6.610000E-12	0.001019	3.104702E+14	1.800000E-6
-22.000000	6.560000E-12	0.001027	3.330767E+14	1.800000E-6
-22.500000	6.510000E-12	0.001035	3.255179E+14	1.800000E-6
-23.000000	6.460000E-12	0.001043	2.884803E+14	1.800000E-6
-23.500000	6.400000E-12	0.001053	2.818278E+14	1.800000E-6
-24.000000	6.350000E-12	0.001061	-9.666586E+12	1.800000E-6
