Area [cm^2], start Voltage, Stop Voltage, Step Voltage
7.850000E-3	0.000000E+0	-2.400000E+1	5.000000E-1
0.000000	4.742000E-12	0.001421	5.590310E+12	4.977000E-5
-0.500000	4.867000E-12	0.001385	-1.115393E+14	4.558000E-5
-1.000000	4.859000E-12	0.001387	1.540060E+14	4.200000E-5
-1.500000	4.781000E-12	0.001410	5.852421E+13	3.874000E-5
-2.000000	4.643000E-12	0.001451	3.438282E+13	3.565000E-5
-2.500000	4.445000E-12	0.001516	2.192626E+13	3.258000E-5
-3.000000	4.183000E-12	0.001611	1.439086E+13	2.935000E-5
-3.500000	3.863000E-12	0.001744	1.027710E+13	2.587000E-5
-4.000000	3.533000E-12	0.001907	8.883716E+12	2.265000E-5
-4.500000	3.269000E-12	0.002061	1.008185E+13	2.041000E-5
-5.000000	3.108000E-12	0.002168	1.455675E+13	1.922000E-5
-5.500000	3.018000E-12	0.002233	2.290537E+13	1.854000E-5
-6.000000	2.964000E-12	0.002274	3.525602E+13	1.811000E-5
-6.500000	2.930000E-12	0.002300	5.331928E+13	1.777000E-5
-7.000000	2.908000E-12	0.002317	7.870399E+13	1.750000E-5
-7.500000	2.893000E-12	0.002329	1.145771E+14	1.724000E-5
-8.000000	2.883000E-12	0.002337	1.770900E+14	1.701000E-5
-8.500000	2.877000E-12	0.002342	2.160372E+14	1.679000E-5
-9.000000	2.870000E-12	0.002348	2.795335E+14	1.658000E-5
-9.500000	2.867000E-12	0.002350	5.564457E+14	1.639000E-5
-10.000000	2.865000E-12	0.002352	4.620085E+14	1.619000E-5
-10.500000	2.861000E-12	0.002355	5.535400E+14	1.600000E-5
-11.000000	2.860000E-12	0.002356	1.380229E+15	1.581000E-5
-11.500000	2.859000E-12	0.002357	1.378782E+15	1.564000E-5
-12.000000	2.858000E-12	0.002358	9.177415E+14	1.547000E-5
-12.500000	2.856000E-12	0.002360	1.375890E+15	1.531000E-5
-13.000000	2.856000E-12	0.002360	9.148541E+14	1.516000E-5
-13.500000	2.853000E-12	0.002362	1.373003E+15	1.500000E-5
-14.000000	2.854000E-12	0.002361	Inf	1.485000E-5
-14.500000	2.853000E-12	0.002362	1.370119E+15	1.469000E-5
-15.000000	2.852000E-12	0.002363	6.836194E+14	1.455000E-5
-15.500000	2.849000E-12	0.002365	6.829003E+14	1.441000E-5
-16.000000	2.848000E-12	0.002366	1.362928E+15	1.428000E-5
-16.500000	2.847000E-12	0.002367	1.361493E+15	1.413000E-5
-17.000000	2.846000E-12	0.002368	6.793124E+14	1.401000E-5
-17.500000	2.843000E-12	0.002370	6.785964E+14	1.388000E-5
-18.000000	2.842000E-12	0.002371	6.764512E+14	1.375000E-5
-18.500000	2.839000E-12	0.002374	6.757371E+14	1.363000E-5
-19.000000	2.838000E-12	0.002375	8.986059E+14	1.352000E-5
-19.500000	2.836000E-12	0.002376	8.976562E+14	1.340000E-5
-20.000000	2.835000E-12	0.002377	8.957587E+14	1.328000E-5
-20.500000	2.833000E-12	0.002379	5.363178E+14	1.316000E-5
-21.000000	2.830000E-12	0.002381	4.457489E+14	1.306000E-5
-21.500000	2.827000E-12	0.002384	5.334827E+14	1.295000E-5
-22.000000	2.825000E-12	0.002385	8.872533E+14	1.283000E-5
-22.500000	2.824000E-12	0.002386	6.636749E+14	1.273000E-5
-23.000000	2.821000E-12	0.002389	4.415096E+14	1.263000E-5
-23.500000	2.818000E-12	0.002391	4.401026E+14	1.254000E-5
-24.000000	2.815000E-12	0.002394	-1.874110E+12	1.243000E-5
