Area [cm^2], start Voltage, Stop Voltage, Step Voltage
7.850000E-3	0.000000E+0	-2.400000E+1	5.000000E-1
0.000000	1.827000E-11	0.000369	6.828445E+13	7.770000E-5
-0.500000	1.701000E-11	0.000396	2.384584E+14	6.200000E-5
-1.000000	1.584000E-11	0.000425	2.115817E+14	5.140000E-5
-1.500000	1.479000E-11	0.000456	1.946290E+14	4.350000E-5
-2.000000	1.387000E-11	0.000486	1.802409E+14	3.760000E-5
-2.500000	1.304000E-11	0.000517	1.634292E+14	3.280000E-5
-3.000000	1.227000E-11	0.000549	1.484930E+14	2.890000E-5
-3.500000	1.157000E-11	0.000582	1.318379E+14	2.570000E-5
-4.000000	1.089000E-11	0.000619	1.173613E+14	2.290000E-5
-4.500000	1.027000E-11	0.000656	1.154542E+14	2.070000E-5
-5.000000	9.770000E-12	0.000690	1.236372E+14	1.930000E-5
-5.500000	9.370000E-12	0.000719	1.340687E+14	1.830000E-5
-6.000000	9.040000E-12	0.000745	1.491601E+14	1.750000E-5
-6.500000	8.780000E-12	0.000768	1.672799E+14	1.690000E-5
-7.000000	8.560000E-12	0.000787	1.812613E+14	1.620000E-5
-7.500000	8.370000E-12	0.000805	1.871595E+14	1.560000E-5
-8.000000	8.190000E-12	0.000823	1.911932E+14	1.510000E-5
-8.500000	8.030000E-12	0.000839	2.042809E+14	1.460000E-5
-9.000000	7.890000E-12	0.000854	1.993409E+14	1.410000E-5
-9.500000	7.740000E-12	0.000871	1.960409E+14	1.360000E-5
-10.000000	7.610000E-12	0.000886	2.174310E+14	1.320000E-5
-10.500000	7.500000E-12	0.000899	2.159065E+14	1.270000E-5
-11.000000	7.380000E-12	0.000913	2.065362E+14	1.230000E-5
-11.500000	7.270000E-12	0.000927	2.162628E+14	1.190000E-5
-12.000000	7.170000E-12	0.000940	2.173911E+14	1.150000E-5
-12.500000	7.070000E-12	0.000953	2.198631E+14	1.120000E-5
-13.000000	6.980000E-12	0.000965	2.364857E+14	1.090000E-5
-13.500000	6.900000E-12	0.000977	2.422109E+14	1.060000E-5
-14.000000	6.820000E-12	0.000988	2.338820E+14	1.030000E-5
-14.500000	6.740000E-12	0.001000	2.257462E+14	1.010000E-5
-15.000000	6.660000E-12	0.001012	2.178013E+14	9.800000E-6
-15.500000	6.580000E-12	0.001024	2.245673E+14	9.500000E-6
-16.000000	6.510000E-12	0.001035	2.324865E+14	9.300000E-6
-16.500000	6.440000E-12	0.001046	2.429519E+14	9.100000E-6
-17.000000	6.380000E-12	0.001056	2.351203E+14	8.800000E-6
-17.500000	6.310000E-12	0.001068	2.285430E+14	8.700000E-6
-18.000000	6.250000E-12	0.001078	2.400280E+14	8.500000E-6
-18.500000	6.190000E-12	0.001089	2.331805E+14	8.500000E-6
-19.000000	6.130000E-12	0.001099	2.264645E+14	8.300000E-6
-19.500000	6.070000E-12	0.001110	2.198787E+14	8.100000E-6
-20.000000	6.010000E-12	0.001121	2.134218E+14	8.000000E-6
-20.500000	5.950000E-12	0.001133	2.497818E+14	7.800000E-6
-21.000000	5.910000E-12	0.001140	2.699292E+14	7.600000E-6
-21.500000	5.860000E-12	0.001150	2.152755E+14	7.500000E-6
-22.000000	5.800000E-12	0.001162	2.098066E+14	7.400000E-6
-22.500000	5.750000E-12	0.001172	2.242957E+14	7.300000E-6
-23.000000	5.700000E-12	0.001182	2.434185E+14	7.200000E-6
-23.500000	5.660000E-12	0.001191	2.674232E+14	7.000000E-6
-24.000000	5.620000E-12	0.001199	-7.560422E+12	7.000000E-6
